chatgpt.com,104.18.32.47
chatgpt.com,172.64.155.209
www.chatgpt.com,104.18.32.47
www.chatgpt.com,172.64.155.209
openai.com,104.18.33.45
openai.com,172.64.154.211
api.openai.com,162.159.140.245
api.openai.com,172.66.0.243
youtube.com,142.250.184.206
youtube.com,142.250.185.206
youtube.com,172.217.23.110
www.youtube.com,142.250.181.238
www.youtube.com,142.250.184.206
www.youtube.com,142.250.184.238
www.youtube.com,142.250.185.110
www.youtube.com,142.250.185.142
www.youtube.com,142.250.185.174
www.youtube.com,142.250.185.206
www.youtube.com,142.250.185.238
www.youtube.com,142.250.185.78
www.youtube.com,142.250.186.110
www.youtube.com,142.250.186.142
www.youtube.com,142.250.186.174
www.youtube.com,142.250.186.46
www.youtube.com,142.250.186.78
www.youtube.com,142.250.74.206
www.youtube.com,172.217.16.142
www.youtube.com,172.217.16.206
www.youtube.com,172.217.18.14
www.youtube.com,216.58.206.46
www.youtube.com,216.58.206.78
www.youtube.com,216.58.212.142
www.youtube.com,216.58.212.174
instagram.com,157.240.0.174
instagram.com,157.240.253.174
instagram.com,57.144.244.34
www.instagram.com,157.240.253.174
www.instagram.com,57.144.244.34
www.instagram.com,57.144.248.34
